step,f1,logp,acc,rho
2000,0.5477768795472918,-211.90395354329945,0.1318325212393803,1.0
2100,0.5499671268902038,-182.9397604501636,0.1425,1.0007503032684326
2200,0.548040350587068,-174.06403679571685,0.1321875,1.003528118133545
2300,0.5492142266335814,-169.8798637185428,0.1253125,1.0006407499313354
2400,0.5496436267197082,-168.9848219061701,0.129375,1.004302978515625
2500,0.5508305647840531,-161.78913375685858,0.1209375,1.003869891166687
2600,0.5467000835421888,-159.93068106304537,0.12703125,1.0021835565567017
2700,0.5431810603534512,-158.5819684770276,0.128125,1.0013947486877441
2800,0.5380371175388731,-154.57454459857144,0.11953125,1.001745343208313
2900,0.5348993288590604,-153.90949215777906,0.11984375,1.0031142234802246
3000,0.5374937091092099,-149.63128718717257,0.11390625,1.0001749992370605
3100,0.540123973864969,-144.2348504848235,0.11984375,1.0026378631591797
3200,0.5401042542458382,-140.17658100658147,0.1215625,1.0029888153076172
3300,0.5422476062489501,-137.95864051097828,0.12328125,1.0053014755249023
3400,0.5432805658470866,-136.91692525834972,0.12109375,1.0076195001602173
3500,0.5468644639244774,-135.95263014701226,0.1159375,1.0063198804855347
3600,0.5499071102854247,-135.64098554953802,0.10671875,1.0070654153823853
3700,0.5527161956337789,-135.3543063464187,0.1121875,1.0052167177200317
3800,0.5504400812457685,-134.86144995411718,0.1315625,1.0059646368026733
3900,0.5485346434016601,-133.59081045017055,0.1209375,1.0059646368026733
4000,0.5501102255384094,-131.71690443438965,0.13921875,1.0059646368026733
4100,0.5504151838671412,-129.51948235126991,0.13109375,1.0059646368026733
4200,0.5500676589986468,-128.70805543994805,0.13484375,1.0059646368026733
4300,0.5513513513513514,-127.34651347295048,0.11125,1.0059646368026733
4400,0.5518987341772152,-126.35590601525672,0.12484375,1.0059646368026733
4500,0.5521202905896266,-124.77855403208342,0.12046875,1.0059646368026733
4600,0.5521202905896266,-124.61082771505795,0.11171875,1.0059646368026733
4700,0.5513385293120976,-124.23029224914157,0.11515625,1.0059646368026733
4800,0.5518060030523996,-121.69546459293841,0.12421875,1.0059646368026733
4900,0.5518178729187904,-121.45343447185735,0.11484375,1.0059646368026733
5000,0.5540655236801901,-121.32513542610982,0.11546875,1.0059646368026733
5100,0.55,-120.33166374096791,0.12515625,1.0059646368026733
5200,0.5514305177111717,-119.71928658347795,0.11953125,1.0059646368026733
5300,0.5514066496163683,-119.72621887955266,0.1275,1.0059646368026733
5400,0.5493342437692045,-119.75563970002884,0.1115625,1.0059646368026733
5500,0.5497435897435897,-118.91947144857113,0.1103125,1.0059646368026733
5600,0.5504964053406368,-118.82252964892868,0.1121875,1.0059646368026733
5700,0.551983584131327,-117.99727151292562,0.1190625,1.0059646368026733
5800,0.5509924709103354,-118.00505892762774,0.09515625,1.0059646368026733
5900,0.5499316005471956,-117.8345198761545,0.11359375,1.0059646368026733
6000,0.5483760683760683,-117.85951289153515,0.12578125,1.0059646368026733
6100,0.5466985973315087,-117.87278002591904,0.115,1.0059646368026733
6200,0.5474152687435809,-117.8843383960824,0.13515625,1.0059646368026733
6300,0.5470698786946865,-116.66568715594278,0.12484375,1.0059646368026733
6400,0.5465096432838368,-116.38707123494439,0.1234375,1.0059646368026733
6500,0.5466029361556846,-116.0807172296604,0.1246875,1.0059646368026733
6600,0.5469471523858389,-116.0780614519145,0.1403125,1.0059646368026733
6700,0.5471665810648861,-115.12545047790991,0.136875,1.0059646368026733
6800,0.5476965233772906,-115.1383825322877,0.134375,1.0059646368026733
6900,0.5488451668092387,-115.15825118556691,0.106875,1.0059646368026733
7000,0.5496915695681974,-114.22601315163963,0.1296875,1.0059646368026733
7100,0.548972602739726,-113.40815758493709,0.13359375,1.0059646368026733
7200,0.5483815721870183,-112.64558054188177,0.11609375,1.0059646368026733
7300,0.5484423142759329,-112.66298443453064,0.10984375,1.0059646368026733
7400,0.5465455168866792,-112.34700868914977,0.126875,1.0059646368026733
7500,0.5477576172543649,-112.36528315236987,0.11734375,1.0059646368026733
7600,0.5478513953090224,-112.38302180826429,0.1178125,1.0059646368026733
7700,0.5488180883864338,-112.20394877986189,0.12375,1.0059646368026733
7800,0.5479123887748117,-112.13750045505756,0.1196875,1.0059646368026733
7900,0.5484755053100376,-111.80767210244046,0.12015625,1.0059646368026733
8000,0.5478513953090224,-111.8193648232538,0.119375,1.0059646368026733
8100,0.5480390477821545,-111.74119935401066,0.120625,1.0059646368026733
8200,0.5474152687435809,-111.74732379545192,0.11390625,1.0059646368026733
8300,0.5476965233772906,-109.44528167016568,0.11703125,1.0059646368026733
8400,0.5491873396065012,-109.45557690221062,0.1259375,1.0059646368026733
8500,0.548348451138114,-107.81903171720221,0.10484375,1.0059646368026733
8600,0.5487846627867169,-107.74117492754567,0.12140625,1.0059646368026733
8700,0.5495032545392258,-107.4567851013908,0.1203125,1.0059646368026733
8800,0.5483539094650206,-107.06864037454271,0.12171875,1.0059646368026733
8900,0.5480109739368999,-107.06841926071476,0.12578125,1.0059646368026733
9000,0.5475741470941197,-107.00556171724071,0.128125,1.0059646368026733
9100,0.5473539989724268,-106.20915014925204,0.13625,1.0059646368026733
9200,0.5479123887748117,-105.7920484440435,0.12,1.0059646368026733
9300,0.5487512829284981,-105.61981960650633,0.1271875,1.0059646368026733
9400,0.5462630408756627,-105.54464838600342,0.12859375,1.0059646368026733
9500,0.545982905982906,-104.98406599415665,0.1265625,1.0059646368026733
9600,0.545050435971961,-104.98090121731866,0.1246875,1.0059646368026733
9700,0.5464181911437853,-104.51592658644446,0.11828125,1.0059646368026733
9800,0.5457656116338752,-104.45623491151484,0.11796875,1.0059646368026733
9900,0.5463264257578353,-103.50632601271542,0.12484375,1.0059646368026733
10000,0.545766198148783,-103.51883562719199,0.13328125,1.0059646368026733
10100,0.5455481214616572,-103.51757817832791,0.13296875,1.0059646368026733
10200,0.5457975986277873,-103.51525314969125,0.12203125,1.0059646368026733
10300,0.5446428571428571,-103.50346848451953,0.113125,1.0059646368026733
10400,0.5431759656652361,-103.51461359817654,0.1209375,1.0059646368026733
10500,0.5428620511939529,-103.15735717656852,0.151875,1.0059646368026733
10600,0.5446106240330068,-102.9753194283492,0.11921875,1.0059646368026733
10700,0.5456730769230769,-102.98581370214666,0.12015625,1.0059646368026733
10800,0.5441732554142317,-102.99712279657007,0.1221875,1.0059646368026733
10900,0.5443298969072164,-103.00696634764905,0.13,1.0059646368026733
11000,0.54373603711978,-103.01683042645499,0.13546875,1.0059646368026733
11100,0.54373603711978,-103.02595457513073,0.144375,1.0059646368026733
11200,0.5434221840068788,-103.03661762841367,0.12125,1.0059646368026733
11300,0.5433287482806052,-102.95196059432453,0.13765625,1.0059646368026733
11400,0.5448299553418069,-102.96238110739955,0.13015625,1.0059646368026733
11500,0.544266804194602,-102.4013939433705,0.11140625,1.0059646368026733
11600,0.54373603711978,-102.41181589048364,0.104375,1.0059646368026733
11700,0.5429210390504042,-102.42098842914235,0.13078125,1.0059646368026733
11800,0.5439229843561973,-102.43113512048805,0.12046875,1.0059646368026733
11900,0.5421686746987951,-102.24192558958885,0.121875,1.0059646368026733
12000,0.5429210390504042,-102.24890373073976,0.120625,1.0059646368026733
12100,0.5423553719008265,-102.25180948708123,0.13171875,1.0059646368026733
12200,0.5421686746987951,-102.25871567539357,0.1328125,1.0059646368026733
12300,0.5421977264898381,-102.26819510549123,0.13546875,1.0059646368026733
12400,0.5432311401997933,-101.7809478321292,0.13328125,1.0059646368026733
12500,0.5432311401997933,-101.59462508253732,0.12140625,1.0059646368026733
12600,0.5434183321847003,-101.59324259585053,0.12046875,1.0059646368026733
12700,0.5421977264898381,-101.30660826501725,0.09734375,1.0059646368026733
12800,0.5421977264898381,-100.3776930048011,0.119375,1.0059646368026733
12900,0.5421977264898381,-100.38689125105252,0.100625,1.0059646368026733
13000,0.5429458433942739,-100.39597605932859,0.1034375,1.0059646368026733
13100,0.542665057748664,-100.38734970714445,0.108125,1.0059646368026733
13200,0.542226818338504,-100.39629724569137,0.11328125,1.0059646368026733
13300,0.5422911283376399,-100.39005372656743,0.1090625,1.0059646368026733
13400,0.5431034482758621,-100.39882144742225,0.104375,1.0059646368026733
13500,0.5431375925607026,-100.40744078284445,0.1134375,1.0059646368026733
13600,0.5430395031913059,-100.41608283348432,0.1146875,1.0059646368026733
13700,0.543572044866264,-100.31512291824654,0.10609375,1.0059646368026733
13800,0.5443562305833621,-100.30318564019512,0.1240625,1.0059646368026733
13900,0.5452348066298343,-100.21892922525791,0.12078125,1.0059646368026733
14000,0.5443234836702955,-100.2235952238756,0.1290625,1.0059646368026733
14100,0.5439142461964038,-100.23173779164594,0.13515625,1.0059646368026733
14200,0.5437262357414449,-100.23898790449385,0.14,1.0059646368026733
14300,0.5442600276625172,-100.24685384575588,0.12828125,1.0059646368026733
14400,0.5435347065951186,-100.14861661628268,0.13125,1.0059646368026733
14500,0.543188506145058,-100.15427409973525,0.116875,1.0059646368026733
14600,0.5447309223048971,-99.63389327170017,0.1246875,1.0059646368026733
14700,0.5450138504155124,-99.62273012454249,0.13921875,1.0059646368026733
14800,0.545580589254766,-99.59553237013849,0.12375,1.0059646368026733
14900,0.5459590704127645,-99.60283040874106,0.13203125,1.0059646368026733
15000,0.5464329109529595,-99.61048807220024,0.1396875,1.0059646368026733
15100,0.5469373590144022,-99.61811848041006,0.12703125,1.0059646368026733
15200,0.547284400485858,-99.62549839991217,0.1221875,1.0059646368026733
15300,0.546904803190567,-99.6305880313148,0.13078125,1.0059646368026733
15400,0.5471567267683772,-99.63805813009571,0.12375,1.0059646368026733
15500,0.547313691507799,-99.64545766569151,0.1184375,1.0059646368026733
15600,0.546400693842151,-99.05841023095466,0.12640625,1.0059646368026733
15700,0.5462112016646437,-97.20873765359084,0.12265625,1.0059646368026733
15800,0.54630593132154,-97.20915327066795,0.13234375,1.0059646368026733
15900,0.5465903175429464,-97.21589931846123,0.11953125,1.0059646368026733
