mask,rep,alpha,rw_sigma,f1_mean,logp_mc,acc
top,0,0.0,0.05,0.6439862542955327,-66.81914332468959,
bottom,0,0.0,0.05,0.6464376022608954,-74.72181862722755,
center,0,0.0,0.05,0.7308546059933407,-58.45330850894247,
random50,0,0.0,0.05,0.8779859819768273,-30.472250769943898,
random50,1,0.0,0.05,0.8762541806020067,-30.923473121109744,
random50,2,0.0,0.05,0.8722822174226061,-31.808467772193495,
random50,3,0.0,0.05,0.880175566934894,-28.438089454534612,
random50,4,0.0,0.05,0.8763716166788588,-30.102367660012682,
top,0,0.0,0.1,0.6557602893060099,-61.97451253268976,0.3763955783843994
bottom,0,0.0,0.1,0.649413180860668,-70.40911288480558,0.41376469865441323
center,0,0.0,0.1,0.7381580775107653,-50.08799703079893,0.37126438796520234
random50,0,0.0,0.1,0.8753128220226704,-29.15553689100892,0.36880379639565947
random50,1,0.0,0.1,0.879045996592845,-29.987187612547455,0.37311274617910384
random50,2,0.0,0.1,0.8804459439636204,-28.90051148749803,0.37005801513791087
random50,3,0.0,0.1,0.8812527185732927,-29.22660662258197,0.3730110278725624
random50,4,0.0,0.1,0.8817050493491632,-29.72996580336938,0.36938178047537806
top,0,0.0,0.15,0.6633459292339402,-58.296814051310065,0.20470615610480308
bottom,0,0.0,0.15,0.6575753034617113,-67.95917590248841,0.22716269634664057
center,0,0.0,0.15,0.7353518362769834,-50.82458811895175,0.1992946532741189
random50,0,0.0,0.15,0.8802796387998835,-30.323092618022017,0.19188613794744014
random50,1,0.0,0.15,0.8699551569506726,-29.080963741032,0.19328191552311183
random50,2,0.0,0.15,0.885489380662409,-28.593545083389927,0.19280642293393613
random50,3,0.0,0.15,0.8801514489587884,-29.84749444857738,0.20426239781081676
random50,4,0.0,0.15,0.8709770114942529,-30.240604194191256,0.20040554832667112
top,0,0.0,0.25,0.6361296963458569,-71.89218745350553,0.04795904278755188
bottom,0,0.0,0.25,0.6525183081751607,-77.717691626317,0.059179030591621995
center,0,0.0,0.25,0.7329974811083123,-56.97181848957243,0.05631637483369559
random50,0,0.0,0.25,0.8694029850746269,-31.355921172046195,0.052176727345213295
random50,1,0.0,0.25,0.8801717967072298,-30.559984479250893,0.04777743359329179
random50,2,0.0,0.25,0.8734476641040805,-31.49979710589744,0.04456991500686854
random50,3,0.0,0.25,0.875310627101301,-30.567641389410085,0.04868847559206188
random50,4,0.0,0.25,0.8695909899229401,-31.15082548762007,0.050651314712595194
top,0,0.0,0.5,0.5901095253899767,-131.56075885437946,0.0015604294475341973
bottom,0,0.0,0.5,0.5981554677206851,-147.63906335033312,0.002226277640786165
center,0,0.0,0.5,0.6942328618063112,-105.0595515855495,0.0014545347807363206
random50,0,0.0,0.5,0.8517769430800347,-40.7079114661404,0.0008925795374808442
random50,1,0.0,0.5,0.852362782506604,-38.68765281103672,0.0019530954589234194
random50,2,0.0,0.5,0.8458635703918723,-38.74996395807461,0.0008054143345170861
random50,3,0.0,0.5,0.8476064997804128,-41.3762159608153,0.001117901012645266
random50,4,0.0,0.5,0.8447295524128882,-40.627323749173314,
top,0,0.25,0.05,0.6431733060946544,-65.64034236148554,
bottom,0,0.25,0.05,0.6445611402850713,-81.70826181317312,
center,0,0.25,0.05,0.7258179739962852,-54.41264885954443,
random50,0,0.25,0.05,0.8771724842996933,-30.078973759012925,
random50,1,0.25,0.05,0.8745704467353952,-31.204427689955672,
random50,2,0.25,0.05,0.8807927717866512,-29.61730710288097,
random50,3,0.25,0.05,0.8659611992945326,-30.10317213576029,
random50,4,0.25,0.05,0.8750183150183151,-29.925189246908555,
top,0,0.25,0.1,0.6560937769350113,-59.47594978793616,0.2873579695820808
bottom,0,0.25,0.1,0.6595616931852296,-68.89413525755377,0.3074189705401659
center,0,0.25,0.1,0.7435432081530086,-52.13899884495649,0.2889313296228647
random50,0,0.25,0.1,0.8803156510302499,-29.298698303639952,0.2877156970649958
random50,1,0.25,0.1,0.8726848476009917,-30.363596559434846,0.2838370558619499
random50,2,0.25,0.1,0.8714905933429812,-30.532857123217124,0.2950843421369791
random50,3,0.25,0.1,0.8806512574502108,-29.929585679735,0.28736426688730715
random50,4,0.25,0.1,0.8804604486422668,-29.162976029103017,0.2801113315671682
top,0,0.25,0.15,0.6631326949384405,-60.39996352115097,0.15189617594704033
bottom,0,0.25,0.15,0.6600029837386245,-69.44222260349754,0.1786121439933777
center,0,0.25,0.15,0.7378668171557562,-48.664336800510824,0.15982487466186285
random50,0,0.25,0.15,0.8741818181818182,-30.664590715676304,0.15169560510665178
random50,1,0.25,0.15,0.8771775728297467,-30.541872753230265,0.1550474641099572
random50,2,0.25,0.15,0.876838765503317,-30.38614232270552,0.15528601489961147
random50,3,0.25,0.15,0.8719467061435974,-29.312886227847628,0.1571963968127966
random50,4,0.25,0.15,0.8778693349028841,-29.60177425234329,0.15888966985046862
top,0,0.25,0.25,0.6597162878140489,-64.70807235930505,0.04830273681087419
bottom,0,0.25,0.25,0.6438907951663434,-81.25216560618546,0.04987511293962598
center,0,0.25,0.25,0.7374364765669114,-57.87507560027956,0.04374939255882054
random50,0,0.25,0.25,0.8709582598471487,-30.409732063653166,0.051983616019133476
random50,1,0.25,0.25,0.8804254096004599,-29.923926551233514,0.041381805180571975
random50,2,0.25,0.25,0.8825424721734036,-29.34684237448249,0.039072992299916225
random50,3,0.25,0.25,0.8717799446950953,-30.664130734433826,0.04181956606800668
random50,4,0.25,0.25,0.8743996507058652,-29.883504770697318,0.04687557766446844
top,0,0.25,0.5,0.5827374022950275,-122.53533676382798,0.009795222634446646
bottom,0,0.25,0.5,0.5977661950856292,-137.21842747812346,0.004497463489375182
center,0,0.25,0.5,0.6910299003322259,-85.2704962822263,0.014762106187896506
random50,0,0.25,0.5,0.868474773986585,-35.094404415077236,0.014463993141343962
random50,1,0.25,0.5,0.8555930215510922,-34.885258944009436,0.019108706142064877
random50,2,0.25,0.5,0.8653506187389511,-33.381632275635205,0.016344549500051927
random50,3,0.25,0.5,0.8550185873605948,-34.60083528309953,0.01717312807770959
random50,4,0.25,0.5,0.870018837849587,-34.18703841653372,0.014385641353919709
top,0,0.5,0.05,0.61501460230201,-73.3072272686075,
bottom,0,0.5,0.05,0.6375189107413011,-81.16460317772481,
center,0,0.5,0.05,0.7201989176539418,-57.27873556897785,
random50,0,0.5,0.05,0.8753503466587992,-31.095453132896566,
random50,1,0.5,0.05,0.8762463343108504,-30.393182659409057,
random50,2,0.5,0.05,0.8748009842234766,-30.78591725182004,
random50,3,0.5,0.05,0.8754584127915506,-29.499473132809747,
random50,4,0.5,0.05,0.8793613246599645,-29.567542033871252,
top,0,0.5,0.1,0.6605535744608593,-61.721667418008835,0.2039835849031806
bottom,0,0.5,0.1,0.6560547456114252,-73.20597469212369,0.21075403943657875
center,0,0.5,0.1,0.7308829742289819,-51.84702522756008,0.19797386027872563
random50,0,0.5,0.1,0.8783841856467555,-29.784411052491485,0.2237556029856205
random50,1,0.5,0.1,0.8814633443756301,-29.228111712055902,0.21266829811036586
random50,2,0.5,0.1,0.8714888662494542,-30.819838486989276,0.2168160679936409
random50,3,0.5,0.1,0.8694779116465864,-30.35559628968804,0.21013003807514907
random50,4,0.5,0.1,0.8826004933971847,-29.294594549444774,0.21371586930006742
top,0,0.5,0.15,0.6625641025641026,-63.910392531968334,0.11319956124760211
bottom,0,0.5,0.15,0.6543820224719101,-77.58358794139576,0.1263423738628626
center,0,0.5,0.15,0.7387234042553191,-51.387499915193814,0.11370242981240153
random50,0,0.5,0.15,0.8759633561145849,-30.467677159082996,0.12442271608859301
random50,1,0.5,0.15,0.8740088105726872,-29.266371933668992,0.1257727341912687
random50,2,0.5,0.15,0.8716078202509484,-30.695759615173863,0.12275608710944652
random50,3,0.5,0.15,0.8793581327498177,-29.253361708770274,0.12035802502185106
random50,4,0.5,0.15,0.876878612716763,-30.039416870640885,0.11215916056185961
top,0,0.5,0.25,0.6282845188284519,-76.20224199824072,0.045403292123228314
bottom,0,0.5,0.25,0.652239254583709,-74.54596372617122,0.039229865302331746
center,0,0.5,0.25,0.7272467902995721,-60.5932029358145,0.04217990369303152
random50,0,0.5,0.25,0.8731504094239333,-31.46623680444293,0.04691644918755628
random50,1,0.5,0.25,0.8765895953757226,-31.02497360066046,0.04854544294532388
random50,2,0.5,0.25,0.8756491633006347,-31.035030797971025,0.048765659264754506
random50,3,0.5,0.25,0.8737666860127684,-31.394544760661876,0.047833206424256786
random50,4,0.5,0.25,0.8745509412271878,-31.038261017149722,0.051735179284587506
top,0,0.5,0.5,0.5760214333556597,-120.40625149617064,0.03153213325727847
bottom,0,0.5,0.5,0.5797588154480232,-136.42909134419756,0.014448381417465725
center,0,0.5,0.5,0.6507796410709032,-81.94103740694456,0.0209718050309948
random50,0,0.5,0.5,0.8548850574712644,-33.58352123508874,0.05797772605437786
random50,1,0.5,0.5,0.8642413487133984,-31.167969469183635,0.04398939515755046
random50,2,0.5,0.5,0.8614264919941775,-32.65130670065807,0.03846288845292292
random50,3,0.5,0.5,0.8684248870756229,-33.18533605623107,0.05411123876401689
random50,4,0.5,0.5,0.8646313364055299,-32.26994279006904,0.037872676567785674
top,0,0.75,0.05,0.5991706979958535,-77.75293454864473,
bottom,0,0.75,0.05,0.6154772658837699,-88.88751588517522,
center,0,0.75,0.05,0.6891474009718745,-69.02946020970985,
random50,0,0.75,0.05,0.8766055707894357,-30.258916812866214,
random50,1,0.75,0.05,0.8773711725168036,-28.831874546133296,
random50,2,0.75,0.05,0.868524733693273,-31.29706864860812,
random50,3,0.75,0.05,0.8706053975200584,-31.087990036897875,
random50,4,0.75,0.05,0.8743120630670832,-29.698348701196657,
top,0,0.75,0.1,0.6296232582143472,-67.86084942129966,0.13188422694802285
bottom,0,0.75,0.1,0.6447328705101116,-82.04162555227111,0.1294199918396771
center,0,0.75,0.1,0.7224412322966857,-54.61023459170417,0.13028519276529552
random50,0,0.75,0.1,0.8664906103286385,-30.65921466256942,0.15466677773743867
random50,1,0.75,0.1,0.8805194805194805,-29.249672048603387,0.15412227207794785
random50,2,0.75,0.1,0.879814653924124,-29.811034518079563,0.14522424813359977
random50,3,0.75,0.1,0.8715542521994135,-30.37026244958971,0.15566711124032737
random50,4,0.75,0.1,0.8749819338054632,-30.25920094370693,0.15127339908853174
top,0,0.75,0.15,0.62304115722404,-72.9680515697336,0.0756108291586861
bottom,0,0.75,0.15,0.6468401486988847,-81.70004741713898,0.07524380318820477
center,0,0.75,0.15,0.7012798138452588,-57.11831166636722,0.08971432942897081
random50,0,0.75,0.15,0.8752948113207547,-30.995225103783568,0.0885313625074923
random50,1,0.75,0.15,0.8760377898654452,-30.858692427778813,0.11004616316407918
random50,2,0.75,0.15,0.8729009843659525,-30.277742260919354,0.115183908008039
random50,3,0.75,0.15,0.8769497400346621,-29.787456912846338,0.10515181239694357
random50,4,0.75,0.15,0.8746221390528286,-30.647478904884622,0.10265128687024117
top,0,0.75,0.25,0.6071549105636179,-85.28636930460034,0.05451048087561503
bottom,0,0.75,0.25,0.6080854309687261,-95.9793884159044,0.038397915419191124
center,0,0.75,0.25,0.7021119480135873,-65.93170104911727,0.0461226959558553
random50,0,0.75,0.25,0.8780558368291624,-31.437748054232458,0.07871179756475613
random50,1,0.75,0.25,0.8792015264934684,-28.954548363318636,0.0698285326664336
random50,2,0.75,0.25,0.8700498679964799,-31.53020684811024,0.05650889402721077
random50,3,0.75,0.25,0.8699825479930192,-30.882747065195836,0.066494067159947
random50,4,0.75,0.25,0.8680545155009735,-30.88870798180173,0.07467665122821927
top,0,0.75,0.5,0.5827679782903663,-102.2475441766558,0.03608565158661804
bottom,0,0.75,0.5,0.5444073961806608,-154.23217223682843,0.03043098745401949
center,0,0.75,0.5,0.6593879747808704,-89.53274675412405,0.03864840933936648
random50,0,0.75,0.5,0.8499347542409743,-34.99260778143584,0.08894580176100135
random50,1,0.75,0.5,0.8660688458200753,-32.94256339397373,0.08592908145859837
random50,2,0.75,0.5,0.8615967365967366,-34.27638007161244,0.09736972203012556
random50,3,0.75,0.5,0.8602434374541722,-31.825143272646905,0.08597377347759902
random50,4,0.75,0.5,0.8633135236990869,-32.88095206402457,0.08972119341604412
top,0,1.0,0.05,0.5425845620121422,-98.38420877016789,0.12537656927481294
bottom,0,1.0,0.05,0.5511811023622047,-124.30983408667569,0.09115343016572297
center,0,1.0,0.05,0.6491935483870968,-75.32049896842835,0.11512135615572333
random50,0,1.0,0.05,0.8671679197994987,-30.47249598646311,0.15190514182671905
random50,1,1.0,0.05,0.8611964311832675,-31.76687107655087,0.1735427452996373
random50,2,1.0,0.05,0.8608224791453242,-31.217395660483163,0.1970517047122121
random50,3,1.0,0.05,0.8647630091317582,-32.76510103615161,0.1738404157012701
random50,4,1.0,0.05,0.8660031732294822,-32.17544359251694,0.15964059133082628
top,0,1.0,0.1,0.5494091454016099,-95.62146212505925,0.11555117147043348
bottom,0,1.0,0.1,0.5509238051610933,-126.39607908292903,0.09594024016521871
center,0,1.0,0.1,0.647067925112177,-81.74229491054768,0.1190349297877401
random50,0,1.0,0.1,0.8666085440278989,-29.618179630129617,0.17329562528058887
random50,1,1.0,0.1,0.8620838737570256,-32.28062177413207,0.16773470532149076
random50,2,1.0,0.1,0.869309838472834,-31.192575747429302,0.17542932581156492
random50,3,1.0,0.1,0.8727115467781462,-30.150244534006287,0.16482072476297616
random50,4,1.0,0.1,0.8707646176911544,-29.67236159465456,0.16647009298205376
top,0,1.0,0.15,0.5440639666261081,-97.47556161214249,0.10996068060398102
bottom,0,1.0,0.15,0.5528381642512077,-134.10814780960084,0.1054960879124701
center,0,1.0,0.15,0.6564599281362287,-74.57621279676849,0.12455209659412503
random50,0,1.0,0.15,0.8631365740740741,-32.219189336254935,0.17357513895258309
random50,1,1.0,0.15,0.8616819705582277,-32.83955593449018,0.15888002740219234
random50,2,1.0,0.15,0.8674768518518519,-31.76022836163512,0.1722343935444951
random50,3,1.0,0.15,0.8681269557443004,-30.296797941687014,0.16083398379385472
random50,4,1.0,0.15,0.8695909023777876,-30.39267258859198,0.17719737034291028
top,0,1.0,0.25,0.5540261527873366,-88.34555594283299,0.11991531040519476
bottom,0,1.0,0.25,0.5234962406015038,-135.21620887707098,0.08896762788295746
center,0,1.0,0.25,0.6500545086435134,-79.48464060368772,0.12609345810487865
random50,0,1.0,0.25,0.8685376661742984,-30.973463911130956,0.16651820346713067
random50,1,1.0,0.25,0.8613569321533924,-30.71126485646337,0.17644366301596165
random50,2,1.0,0.25,0.8671635247698378,-32.88334134513807,0.16202942822128535
random50,3,1.0,0.25,0.857856093979442,-31.7667031264739,0.18888130445033313
random50,4,1.0,0.25,0.8644709997085398,-31.1099664051434,0.16021068565547467
top,0,1.0,0.5,0.5371468433903035,-93.45855324632262,0.13180359661579133
bottom,0,1.0,0.5,0.5437816285845729,-133.56158046096053,0.09864373692311347
center,0,1.0,0.5,0.6388068976231164,-79.89291686112583,0.11837413042783737
random50,0,1.0,0.5,0.8644839230656292,-30.469444951056552,0.17660478606820107
random50,1,1.0,0.5,0.869921075708857,-31.322589349283508,0.1728484271466732
random50,2,1.0,0.5,0.8675125405724402,-30.074898958001853,0.1710757577046752
random50,3,1.0,0.5,0.8654545454545455,-31.74493443226148,0.16780720476061106
random50,4,1.0,0.5,0.8651946542707728,-31.96666355143163,0.18949751179665328
